Info 0    [14:29:13.712] Starting TS Server
Info 1    [14:29:13.712] Version: 4.7.4
Info 2    [14:29:13.712] Arguments: /usr/local/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /home/julio/Documents/dimari/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/0530a6154927d265450786812c2ed080/tscancellation*
Info 3    [14:29:13.713] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [14:29:13.713] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [14:29:13.724] Format host information updated
Info 6    [14:29:13.736] Search path: /home/julio/Documents/dimari
Info 7    [14:29:13.736] For info: /home/julio/Documents/dimari/snowflake.js :: No config files found.
Info 8    [14:29:13.740] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [14:29:14.624] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 882.90740799997ms
Info 10   [14:29:14.624] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [14:29:14.624] 	Files (19)

Info 12   [14:29:14.624] -----------------------------------------------
Info 13   [14:29:24.132] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [14:29:24.136] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 4.2979729999788105ms
Info 15   [14:29:24.136] Different program with same set of files
Info 16   [14:29:24.138] getCompletionData: Get current token: 0.01206299988552928
Info 17   [14:29:24.138] getCompletionData: Is inside comment: 0.07637599995359778
Info 18   [14:29:24.138] getCompletionData: Get previous token: 0.036228999961167574
Info 19   [14:29:24.147] getExportInfoMap: cache miss or empty; calculating new results
Info 20   [14:29:24.148] getExportInfoMap: done in 5.02560400031507 ms
Info 21   [14:29:24.149] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 22   [14:29:24.149] collectAutoImports: response is complete
Info 23   [14:29:24.149] collectAutoImports: 0.11511699995025992
Info 24   [14:29:24.149] getCompletionData: Semantic work: 11.1220350000076
Info 25   [14:29:24.185] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 35.57556299958378
Info 26   [14:29:24.188] getCompletionData: Get current token: 0.00865000020712614
